code,parent,urn,name#ca,name#es,name#en,description#ca,description#es,description#en
ES53,,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES53,Illes Balears,Illes Balears,Balearic Islands,,,
ES530,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES53,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES530,Illes Balears,Illes Balears,Balearic Islands,,,
ES532,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES530,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES532,Mallorca,Mallorca,Majorca,,,
07001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES532,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07001,Alaró,Alaró,Alaró,,,
20030101_07001_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D01,Districte D01 - Alaró,Distrito D01 - Alaró,District D01 - Alaró,,,
20030101_07001_D01_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D01_S001,"Districte D01, Secció S001 - Alaró","Distrito D01, Sección S001 - Alaró","District D01, Section S001 - Alaró",,,
20030101_07001_D01_S002,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D01_S002,"Districte D01, Secció S002 - Alaró","Distrito D01, Sección S002 - Alaró","District D01, Section S002 - Alaró",,,
20030101_07001_D01_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D01_O,Resta de Districte D01 - Alaró,Resto de Distrito D01 - Alaró,Rest of District D01 - Alaró,,,
20030101_07001_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D02,Districte D02 - Alaró,Distrito D02 - Alaró,District D02 - Alaró,,,
20030101_07001_D02_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D02_S001,"Districte D02, Secció S001 - Alaró","Distrito D02, Sección S001 - Alaró","District D02, Section S001 - Alaró",,,
20030101_07001_D02_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07001_D02_O,Resta de Districte D02 - Alaró,Resto de Distrito D02 - Alaró,Rest of District D02 - Alaró,,,
07001_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07001_O,Resta d'Alaró,Resto de Alaró,Rest of Alaró,,,
07003,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).ES532,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07003,Alcúdia,Alcúdia,Alcúdia,,,
20030101_07003_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07003,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D01,Districte D01 - Alcúdia,Distrito D01 - Alcúdia,District D01 - Alcúdia,,,
20030101_07003_D01_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D01_S001,"Districte D01, Secció S001 - Alcúdia","Distrito D01, Sección S001 - Alcúdia","District D01, Section S001 - Alcúdia",,,
20030101_07003_D01_S002,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D01_S002,"Districte D01, Secció S002 - Alcúdia","Distrito D01, Sección S002 - Alcúdia","District D01, Section S002 - Alcúdia",,,
20030101_07003_D01_S003,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D01_S003,"Districte D01, Secció S003 - Alcúdia","Distrito D01, Sección S003 - Alcúdia","District D01, Section S003 - Alcúdia",,,
20030101_07003_D01_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D01,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D01_O,Resta de Districte D01 - Alcúdia,Resto de Distrito D01 - Alcúdia,Rest of District D01 - Alcúdia,,,
20030101_07003_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07003,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D02,Districte D02 - Alcúdia,Distrito D02 - Alcúdia,District D02 - Alcúdia,,,
20030101_07003_D02_S001,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D02_S001,"Districte D02, Secció S001 - Alcúdia","Distrito D02, Sección S001 - Alcúdia","District D02, Section S001 - Alcúdia",,,
20030101_07003_D02_O,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D02,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D02_O,Resta de Districte D02 - Alcúdia,Resto de Distrito D02 - Alcúdia,Rest of District D02 - Alcúdia,,,
20030101_07003_D03,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).07003,urn:sdmx:org.sdmx.infomodel.codelist.Code=IBESTAT:CL_AREA_ES53_DS_20030101(01.000).20030101_07003_D03,Districte D03 - Alcúdia,Distrito D03 - Alcúdia,District D03 - Alcúdia,,,
