TIME_PERIOD#ca,TIME_PERIOD#es,TIME_PERIOD_CODE,MEDIDAS#ca,MEDIDAS#es,MEDIDAS_CODE,TERRITORIO#ca,TERRITORIO#es,TERRITORIO_CODE,OBS_VALUE,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#ca,CONFIDENCIALIDAD_OBSERVACION#es,NOTAS_OBSERVACION#ca,NOTAS_OBSERVACION#es
2025,2025,2025,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Alcúdia,Alcúdia,07003,64.08,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Alcúdia,Alcúdia,07003,66.20,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Alcúdia,Alcúdia,07003,57.69,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Alcúdia,Alcúdia,07003,59.25,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Calvià,Calvià,07011,75.05,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Calvià,Calvià,07011,76.93,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Calvià,Calvià,07011,61.87,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Calvià,Calvià,07011,63.73,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Felanitx,Felanitx,07022,,Baixa fiabilitat,Baja fiabilidad,U,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Felanitx,Felanitx,07022,,Baixa fiabilitat,Baja fiabilidad,U,,,,
2025,2025,2025,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Felanitx,Felanitx,07022,,Baixa fiabilitat,Baja fiabilidad,U,,,,
2025,2025,2025,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Felanitx,Felanitx,07022,,Baixa fiabilitat,Baja fiabilidad,U,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Palma,Palma,07040,71.27,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Palma,Palma,07040,76.11,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Palma,Palma,07040,46.75,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Palma,Palma,07040,51.09,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Pollença,Pollença,07042,,Baixa fiabilitat,Baja fiabilidad,U,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Pollença,Pollença,07042,,Baixa fiabilitat,Baja fiabilidad,U,,,,
2025,2025,2025,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Pollença,Pollença,07042,,Baixa fiabilitat,Baja fiabilidad,U,,,,
2025,2025,2025,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Pollença,Pollença,07042,,Baixa fiabilitat,Baja fiabilidad,U,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Sant Llorenç des Cardassar,Sant Llorenç des Cardassar,07051,63.26,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Sant Llorenç des Cardassar,Sant Llorenç des Cardassar,07051,62.59,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Sant Llorenç des Cardassar,Sant Llorenç des Cardassar,07051,53.14,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Sant Llorenç des Cardassar,Sant Llorenç des Cardassar,07051,52.09,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Santanyí,Santanyí,07057,66.62,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Santanyí,Santanyí,07057,67.27,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Santanyí,Santanyí,07057,48.30,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Santanyí,Santanyí,07057,48.38,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Son Servera,Son Servera,07062,60.46,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Son Servera,Son Servera,07062,60.76,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Son Servera,Son Servera,07062,44.18,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Son Servera,Son Servera,07062,43.78,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Ciutadella de Menorca,Ciutadella de Menorca,07015,65.50,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Ciutadella de Menorca,Ciutadella de Menorca,07015,65.55,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Ciutadella de Menorca,Ciutadella de Menorca,07015,54.64,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Ciutadella de Menorca,Ciutadella de Menorca,07015,54.47,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Sant Lluís,Sant Lluís,07052,57.51,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Sant Lluís,Sant Lluís,07052,57.71,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Sant Lluís,Sant Lluís,07052,34.99,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Sant Lluís,Sant Lluís,07052,35.43,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Eivissa,Eivissa,07026,43.85,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Eivissa,Eivissa,07026,46.93,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Eivissa,Eivissa,07026,36.25,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Eivissa,Eivissa,07026,38.57,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics,Grado de ocupación por apartamentos turísticos,GRADO_OCUPACION_APARTAMENTO_TURISTICO,Sant Antoni de Portmany,Sant Antoni de Portmany,07046,42.84,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per apartaments turístics en cap de setmana,Grado de ocupación por apartamentos turísticos en fin de semana,GRADO_OCUPACION_APARTAMENTO_TURISTICO_FIN_SEMANA,Sant Antoni de Portmany,Sant Antoni de Portmany,07046,42.95,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places,Grado de ocupación por plazas,GRADO_OCUPACION_PLAZA_TURISTICA,Sant Antoni de Portmany,Sant Antoni de Portmany,07046,26.59,Valor provisional,Valor provisional,P,,,,
2025,2025,2025,Grau d'ocupació per places en cap de setmana,Grado de ocupación por plazas en fin de semana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,Sant Antoni de Portmany,Sant Antoni de Portmany,07046,26.74,Valor provisional,Valor provisional,P,,,,
