TERRITORIO#es,TERRITORIO#ca,TERRITORIO_CODE,TIME_PERIOD#es,TIME_PERIOD#ca,TIME_PERIOD_CODE,MEDIDAS#es,MEDIDAS#ca,MEDIDAS_CODE,OBS_VALUE,ESTADO_OBSERVACION#es,ESTADO_OBSERVACION#ca,ESTADO_OBSERVACION_CODE,CONFIDENCIALIDAD_OBSERVACION#es,CONFIDENCIALIDAD_OBSERVACION#ca,NOTAS_OBSERVACION#es,NOTAS_OBSERVACION#ca
Alcúdia,Alcúdia,07003,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,78.09,Valor provisional,Valor provisional,P,,,,
Alcúdia,Alcúdia,07003,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,87.84,Valor provisional,Valor provisional,P,,,,
Alcúdia,Alcúdia,07003,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,78.79,Valor provisional,Valor provisional,P,,,,
Andratx,Andratx,07005,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,67.47,Valor provisional,Valor provisional,P,,,,
Andratx,Andratx,07005,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,74.88,Valor provisional,Valor provisional,P,,,,
Andratx,Andratx,07005,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,69.18,Valor provisional,Valor provisional,P,,,,
Calvià,Calvià,07011,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,80.95,Valor provisional,Valor provisional,P,,,,
Calvià,Calvià,07011,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,84.41,Valor provisional,Valor provisional,P,,,,
Calvià,Calvià,07011,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,82.24,Valor provisional,Valor provisional,P,,,,
Capdepera,Capdepera,07014,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,67.36,Valor provisional,Valor provisional,P,,,,
Capdepera,Capdepera,07014,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,73.47,Valor provisional,Valor provisional,P,,,,
Capdepera,Capdepera,07014,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,67.69,Valor provisional,Valor provisional,P,,,,
Felanitx,Felanitx,07022,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,72.59,Valor provisional,Valor provisional,P,,,,
Felanitx,Felanitx,07022,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,75.89,Valor provisional,Valor provisional,P,,,,
Felanitx,Felanitx,07022,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,69.96,Valor provisional,Valor provisional,P,,,,
Llucmajor,Llucmajor,07031,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,79.75,Valor provisional,Valor provisional,P,,,,
Llucmajor,Llucmajor,07031,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,83.70,Valor provisional,Valor provisional,P,,,,
Llucmajor,Llucmajor,07031,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,80.51,Valor provisional,Valor provisional,P,,,,
Manacor,Manacor,07033,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,76.96,Valor provisional,Valor provisional,P,,,,
Manacor,Manacor,07033,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,77.77,Valor provisional,Valor provisional,P,,,,
Manacor,Manacor,07033,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,73.00,Valor provisional,Valor provisional,P,,,,
Muro,Muro,07039,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,81.48,Valor provisional,Valor provisional,P,,,,
Muro,Muro,07039,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,85.10,Valor provisional,Valor provisional,P,,,,
Muro,Muro,07039,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,81.46,Valor provisional,Valor provisional,P,,,,
Palma,Palma,07040,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,75.47,Valor provisional,Valor provisional,P,,,,
Palma,Palma,07040,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,81.46,Valor provisional,Valor provisional,P,,,,
Palma,Palma,07040,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,80.17,Valor provisional,Valor provisional,P,,,,
Pollença,Pollença,07042,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,78.14,Valor provisional,Valor provisional,P,,,,
Pollença,Pollença,07042,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,79.04,Valor provisional,Valor provisional,P,,,,
Pollença,Pollença,07042,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,80.63,Valor provisional,Valor provisional,P,,,,
Ses Salines,Ses Salines,07059,2025,2025,2025,Grado de ocupación por plazas,Grau d'ocupació per places,GRADO_OCUPACION_PLAZA_TURISTICA,63.89,Valor provisional,Valor provisional,P,,,,
Ses Salines,Ses Salines,07059,2025,2025,2025,Grado de ocupación por habitaciones,Grau d'ocupació per habitacions,GRADO_OCUPACION_HABITACION_TURISTICA,73.81,Valor provisional,Valor provisional,P,,,,
Ses Salines,Ses Salines,07059,2025,2025,2025,Grado de ocupación por plazas en fin de semana,Grau d'ocupació per places en cap de setmana,GRADO_OCUPACION_PLAZA_TURISTICA_FIN_SEMANA,65.91,Valor provisional,Valor provisional,P,,,,
