periode_codi,any,mes,tipus_periode,codi_municipi,municipi,illa,ocupacio_apartaments_pct,ocupacio_places_pct,ocupacio_apartaments_cap_setmana_pct,ocupacio_places_cap_setmana_pct,qualitat
2008,2008,,anual,07003,Alcúdia,Mallorca,79.09,73.84,77.12,73.97,A
2008,2008,,anual,07011,Calvià,Mallorca,60.79,51.83,61.52,52.36,A
2008,2008,,anual,07015,Ciutadella de Menorca,Menorca,61.42,53.4,61.33,53.2,A
2008,2008,,anual,07022,Felanitx,Mallorca,62.28,51.3,61.66,50.55,A
2008,2008,,anual,07024,Formentera,Formentera,52.14,42.52,53.33,43.38,A
2008,2008,,anual,07026,Eivissa,Eivissa,62.46,50.32,63.86,51.46,A
2008,2008,,anual,07040,Palma,Mallorca,66.06,55.34,65.98,56.18,A
2008,2008,,anual,07042,Pollença,Mallorca,71.74,65.67,72.01,66.12,A
2008,2008,,anual,07046,Sant Antoni de Portmany,Eivissa,54.96,54.0,56.63,55.38,A
2008,2008,,anual,07048,Sant Josep de sa Talaia,Eivissa,59.86,49.86,60.5,50.36,A
2008,2008,,anual,07051,Sant Llorenç des Cardassar,Mallorca,65.31,59.28,65.95,59.59,A
2008,2008,,anual,07052,Sant Lluís,Menorca,48.29,36.64,50.83,38.36,A
2008,2008,,anual,07054,Santa Eulària des Riu,Eivissa,50.37,41.93,50.78,41.98,A
2008,2008,,anual,07057,Santanyí,Mallorca,72.76,66.7,72.21,66.23,A
2008,2008,,anual,07062,Son Servera,Mallorca,57.39,50.01,56.97,49.55,A
2008-M01,2008,1,mensual,07003,Alcúdia,Mallorca,,,,,U
2008-M01,2008,1,mensual,07011,Calvià,Mallorca,55.92,26.09,54.36,25.02,A
2008-M01,2008,1,mensual,07015,Ciutadella de Menorca,Menorca,,,,,U
2008-M01,2008,1,mensual,07022,Felanitx,Mallorca,,,,,U
2008-M01,2008,1,mensual,07024,Formentera,Formentera,,,,,U
2008-M01,2008,1,mensual,07026,Eivissa,Eivissa,,,,,U
2008-M01,2008,1,mensual,07040,Palma,Mallorca,49.57,36.45,48.37,36.13,A
2008-M01,2008,1,mensual,07042,Pollença,Mallorca,,,,,U
2008-M01,2008,1,mensual,07046,Sant Antoni de Portmany,Eivissa,,,,,U
2008-M01,2008,1,mensual,07048,Sant Josep de sa Talaia,Eivissa,,,,,U
2008-M01,2008,1,mensual,07051,Sant Llorenç des Cardassar,Mallorca,,,,,U
2008-M01,2008,1,mensual,07052,Sant Lluís,Menorca,,,,,U
2008-M01,2008,1,mensual,07054,Santa Eulària des Riu,Eivissa,,,,,U
2008-M01,2008,1,mensual,07057,Santanyí,Mallorca,,,,,U
2008-M01,2008,1,mensual,07062,Son Servera,Mallorca,,,,,U
2008-M02,2008,2,mensual,07003,Alcúdia,Mallorca,,,,,U
2008-M02,2008,2,mensual,07011,Calvià,Mallorca,72.68,46.02,61.58,38.48,A
2008-M02,2008,2,mensual,07015,Ciutadella de Menorca,Menorca,,,,,U
2008-M02,2008,2,mensual,07022,Felanitx,Mallorca,,,,,U
2008-M02,2008,2,mensual,07024,Formentera,Formentera,,,,,U
2008-M02,2008,2,mensual,07026,Eivissa,Eivissa,,,,,U
2008-M02,2008,2,mensual,07040,Palma,Mallorca,63.77,55.06,64.11,55.21,A
2008-M02,2008,2,mensual,07042,Pollença,Mallorca,,,,,U
2008-M02,2008,2,mensual,07046,Sant Antoni de Portmany,Eivissa,,,,,U
2008-M02,2008,2,mensual,07048,Sant Josep de sa Talaia,Eivissa,,,,,U
2008-M02,2008,2,mensual,07051,Sant Llorenç des Cardassar,Mallorca,,,,,U
2008-M02,2008,2,mensual,07052,Sant Lluís,Menorca,,,,,U
2008-M02,2008,2,mensual,07054,Santa Eulària des Riu,Eivissa,,,,,U
2008-M02,2008,2,mensual,07057,Santanyí,Mallorca,,,,,U
2008-M02,2008,2,mensual,07062,Son Servera,Mallorca,,,,,U
2008-M03,2008,3,mensual,07003,Alcúdia,Mallorca,,,,,U
2008-M03,2008,3,mensual,07011,Calvià,Mallorca,79.08,54.73,80.78,55.97,A
2008-M03,2008,3,mensual,07015,Ciutadella de Menorca,Menorca,,,,,U
2008-M03,2008,3,mensual,07022,Felanitx,Mallorca,,,,,U
2008-M03,2008,3,mensual,07024,Formentera,Formentera,,,,,U
2008-M03,2008,3,mensual,07026,Eivissa,Eivissa,,,,,U
2008-M03,2008,3,mensual,07040,Palma,Mallorca,70.93,52.65,70.82,54.4,A
2008-M03,2008,3,mensual,07042,Pollença,Mallorca,,,,,U
2008-M03,2008,3,mensual,07046,Sant Antoni de Portmany,Eivissa,,,,,U
2008-M03,2008,3,mensual,07048,Sant Josep de sa Talaia,Eivissa,,,,,U
2008-M03,2008,3,mensual,07051,Sant Llorenç des Cardassar,Mallorca,,,,,U
2008-M03,2008,3,mensual,07052,Sant Lluís,Menorca,,,,,U
2008-M03,2008,3,mensual,07054,Santa Eulària des Riu,Eivissa,,,,,U
2008-M03,2008,3,mensual,07057,Santanyí,Mallorca,,,,,U
2008-M03,2008,3,mensual,07062,Son Servera,Mallorca,,,,,U
2008-M04,2008,4,mensual,07003,Alcúdia,Mallorca,,,,,U
2008-M04,2008,4,mensual,07011,Calvià,Mallorca,62.95,48.72,65.46,50.42,A
2008-M04,2008,4,mensual,07015,Ciutadella de Menorca,Menorca,,,,,U
2008-M04,2008,4,mensual,07022,Felanitx,Mallorca,,,,,U
2008-M04,2008,4,mensual,07024,Formentera,Formentera,,,,,U
2008-M04,2008,4,mensual,07026,Eivissa,Eivissa,,,,,U
2008-M04,2008,4,mensual,07040,Palma,Mallorca,,,,,U
2008-M04,2008,4,mensual,07042,Pollença,Mallorca,,,,,U
2008-M04,2008,4,mensual,07046,Sant Antoni de Portmany,Eivissa,,,,,U
2008-M04,2008,4,mensual,07048,Sant Josep de sa Talaia,Eivissa,,,,,U
2008-M04,2008,4,mensual,07051,Sant Llorenç des Cardassar,Mallorca,,,,,U
2008-M04,2008,4,mensual,07052,Sant Lluís,Menorca,,,,,U
2008-M04,2008,4,mensual,07054,Santa Eulària des Riu,Eivissa,,,,,U
2008-M04,2008,4,mensual,07057,Santanyí,Mallorca,34.73,27.65,34.98,27.89,A
2008-M04,2008,4,mensual,07062,Son Servera,Mallorca,,,,,U
2008-M05,2008,5,mensual,07003,Alcúdia,Mallorca,75.82,64.68,71.85,62.79,A
2008-M05,2008,5,mensual,07011,Calvià,Mallorca,46.69,41.12,46.41,40.96,A
2008-M05,2008,5,mensual,07015,Ciutadella de Menorca,Menorca,36.93,31.41,36.94,31.21,A
2008-M05,2008,5,mensual,07022,Felanitx,Mallorca,55.63,46.77,54.81,45.4,A
2008-M05,2008,5,mensual,07024,Formentera,Formentera,18.52,13.51,21.55,16.33,A
2008-M05,2008,5,mensual,07026,Eivissa,Eivissa,46.22,38.55,45.24,38.78,A
2008-M05,2008,5,mensual,07040,Palma,Mallorca,54.87,43.23,52.56,43.72,A
