periode_codi,any,mes,tipus_periode,codi_municipi,municipi,illa,ocupacio_places_pct,ocupacio_habitacions_pct,ocupacio_places_cap_setmana_pct,qualitat
2008,2008,,anual,07002,Alaior,Menorca,,,,U
2008,2008,,anual,07003,Alcúdia,Mallorca,69.73,69.66,69.01,A
2008,2008,,anual,07005,Andratx,Mallorca,64.43,62.8,63.9,A
2008,2008,,anual,07011,Calvià,Mallorca,73.7,73.16,72.97,A
2008,2008,,anual,07014,Capdepera,Mallorca,66.71,70.9,69.89,A
2008,2008,,anual,07015,Ciutadella de Menorca,Menorca,69.4,70.13,66.92,A
2008,2008,,anual,07022,Felanitx,Mallorca,,,,U
2008,2008,,anual,07024,Formentera,Formentera,65.89,70.51,69.91,A
2008,2008,,anual,07026,Eivissa,Eivissa,57.55,61.82,62.53,A
2008,2008,,anual,07031,Llucmajor,Mallorca,70.31,69.86,69.41,A
2008,2008,,anual,07032,Maó,Menorca,53.32,61.03,52.93,A
2008,2008,,anual,07033,Manacor,Mallorca,,,,U
2008,2008,,anual,07039,Muro,Mallorca,80.29,76.87,79.07,A
2008,2008,,anual,07040,Palma,Mallorca,66.71,69.16,68.66,A
2008,2008,,anual,07042,Pollença,Mallorca,76.66,77.79,79.48,A
2008,2008,,anual,07046,Sant Antoni de Portmany,Eivissa,67.67,65.12,69.22,A
2008,2008,,anual,07048,Sant Josep de sa Talaia,Eivissa,73.21,71.47,74.68,A
2008,2008,,anual,07050,Sant Joan de Labritja,Eivissa,,,,U
2008,2008,,anual,07051,Sant Llorenç des Cardassar,Mallorca,72.43,71.66,70.84,A
2008,2008,,anual,07052,Sant Lluís,Menorca,70.32,64.29,71.51,A
2008,2008,,anual,07054,Santa Eulària des Riu,Eivissa,67.69,66.99,69.34,A
2008,2008,,anual,07055,Santa Margalida,Mallorca,78.04,77.81,80.34,A
2008,2008,,anual,07057,Santanyí,Mallorca,67.19,65.68,65.27,A
2008,2008,,anual,07059,Ses Salines,Mallorca,73.43,74.23,74.73,A
2008,2008,,anual,07061,Sóller,Mallorca,70.75,69.72,71.63,A
2008,2008,,anual,07062,Son Servera,Mallorca,74.25,74.44,76.46,A
2008-M01,2008,1,mensual,07002,Alaior,Menorca,,,,U
2008-M01,2008,1,mensual,07003,Alcúdia,Mallorca,,,,U
2008-M01,2008,1,mensual,07005,Andratx,Mallorca,,,,U
2008-M01,2008,1,mensual,07011,Calvià,Mallorca,38.3,40.74,34.84,A
2008-M01,2008,1,mensual,07014,Capdepera,Mallorca,,,,U
2008-M01,2008,1,mensual,07015,Ciutadella de Menorca,Menorca,,,,U
2008-M01,2008,1,mensual,07022,Felanitx,Mallorca,,,,U
2008-M01,2008,1,mensual,07024,Formentera,Formentera,,,,U
2008-M01,2008,1,mensual,07026,Eivissa,Eivissa,29.9,37.71,27.96,A
2008-M01,2008,1,mensual,07031,Llucmajor,Mallorca,,,,U
2008-M01,2008,1,mensual,07032,Maó,Menorca,,,,U
2008-M01,2008,1,mensual,07033,Manacor,Mallorca,,,,U
2008-M01,2008,1,mensual,07039,Muro,Mallorca,0.0,0.0,0.0,A
2008-M01,2008,1,mensual,07040,Palma,Mallorca,47.63,53.78,45.58,A
2008-M01,2008,1,mensual,07042,Pollença,Mallorca,,,,U
2008-M01,2008,1,mensual,07046,Sant Antoni de Portmany,Eivissa,,,,U
2008-M01,2008,1,mensual,07048,Sant Josep de sa Talaia,Eivissa,,,,U
2008-M01,2008,1,mensual,07050,Sant Joan de Labritja,Eivissa,,,,U
2008-M01,2008,1,mensual,07051,Sant Llorenç des Cardassar,Mallorca,41.81,41.44,37.73,A
2008-M01,2008,1,mensual,07052,Sant Lluís,Menorca,0.0,0.0,0.0,A
2008-M01,2008,1,mensual,07054,Santa Eulària des Riu,Eivissa,,,,U
2008-M01,2008,1,mensual,07055,Santa Margalida,Mallorca,,,,U
2008-M01,2008,1,mensual,07057,Santanyí,Mallorca,,,,U
2008-M01,2008,1,mensual,07059,Ses Salines,Mallorca,,,,U
2008-M01,2008,1,mensual,07061,Sóller,Mallorca,,,,U
2008-M01,2008,1,mensual,07062,Son Servera,Mallorca,,,,U
2008-M02,2008,2,mensual,07002,Alaior,Menorca,,,,U
2008-M02,2008,2,mensual,07003,Alcúdia,Mallorca,,,,U
2008-M02,2008,2,mensual,07005,Andratx,Mallorca,,,,U
2008-M02,2008,2,mensual,07011,Calvià,Mallorca,50.45,55.22,51.12,A
2008-M02,2008,2,mensual,07014,Capdepera,Mallorca,,,,U
2008-M02,2008,2,mensual,07015,Ciutadella de Menorca,Menorca,,,,U
2008-M02,2008,2,mensual,07022,Felanitx,Mallorca,,,,U
2008-M02,2008,2,mensual,07024,Formentera,Formentera,,,,U
2008-M02,2008,2,mensual,07026,Eivissa,Eivissa,32.02,45.5,30.78,A
2008-M02,2008,2,mensual,07031,Llucmajor,Mallorca,,,,U
2008-M02,2008,2,mensual,07032,Maó,Menorca,,,,U
2008-M02,2008,2,mensual,07033,Manacor,Mallorca,,,,U
2008-M02,2008,2,mensual,07039,Muro,Mallorca,,,,U
2008-M02,2008,2,mensual,07040,Palma,Mallorca,57.1,65.71,58.91,A
2008-M02,2008,2,mensual,07042,Pollença,Mallorca,,,,U
2008-M02,2008,2,mensual,07046,Sant Antoni de Portmany,Eivissa,,,,U
2008-M02,2008,2,mensual,07048,Sant Josep de sa Talaia,Eivissa,,,,U
2008-M02,2008,2,mensual,07050,Sant Joan de Labritja,Eivissa,,,,U
2008-M02,2008,2,mensual,07051,Sant Llorenç des Cardassar,Mallorca,48.3,49.98,50.87,A
2008-M02,2008,2,mensual,07052,Sant Lluís,Menorca,0.0,0.0,0.0,A
2008-M02,2008,2,mensual,07054,Santa Eulària des Riu,Eivissa,,,,U
2008-M02,2008,2,mensual,07055,Santa Margalida,Mallorca,,,,U
2008-M02,2008,2,mensual,07057,Santanyí,Mallorca,,,,U
2008-M02,2008,2,mensual,07059,Ses Salines,Mallorca,,,,U
2008-M02,2008,2,mensual,07061,Sóller,Mallorca,37.87,46.38,47.79,A
2008-M02,2008,2,mensual,07062,Son Servera,Mallorca,,,,U
2008-M03,2008,3,mensual,07002,Alaior,Menorca,,,,U
2008-M03,2008,3,mensual,07003,Alcúdia,Mallorca,,,,U
2008-M03,2008,3,mensual,07005,Andratx,Mallorca,,,,U
2008-M03,2008,3,mensual,07011,Calvià,Mallorca,58.97,60.77,60.39,A
2008-M03,2008,3,mensual,07014,Capdepera,Mallorca,,,,U
2008-M03,2008,3,mensual,07015,Ciutadella de Menorca,Menorca,,,,U
2008-M03,2008,3,mensual,07022,Felanitx,Mallorca,,,,U
2008-M03,2008,3,mensual,07024,Formentera,Formentera,,,,U
2008-M03,2008,3,mensual,07026,Eivissa,Eivissa,41.03,44.47,48.68,A
2008-M03,2008,3,mensual,07031,Llucmajor,Mallorca,,,,U
2008-M03,2008,3,mensual,07032,Maó,Menorca,,,,U
2008-M03,2008,3,mensual,07033,Manacor,Mallorca,,,,U
2008-M03,2008,3,mensual,07039,Muro,Mallorca,,,,U
2008-M03,2008,3,mensual,07040,Palma,Mallorca,60.03,58.87,55.54,A
2008-M03,2008,3,mensual,07042,Pollença,Mallorca,,,,U
2008-M03,2008,3,mensual,07046,Sant Antoni de Portmany,Eivissa,,,,U
2008-M03,2008,3,mensual,07048,Sant Josep de sa Talaia,Eivissa,,,,U
2008-M03,2008,3,mensual,07050,Sant Joan de Labritja,Eivissa,,,,U
2008-M03,2008,3,mensual,07051,Sant Llorenç des Cardassar,Mallorca,57.17,50.62,49.89,A
2008-M03,2008,3,mensual,07052,Sant Lluís,Menorca,0.0,0.0,0.0,A
2008-M03,2008,3,mensual,07054,Santa Eulària des Riu,Eivissa,,,,U
2008-M03,2008,3,mensual,07055,Santa Margalida,Mallorca,,,,U
2008-M03,2008,3,mensual,07057,Santanyí,Mallorca,,,,U
2008-M03,2008,3,mensual,07059,Ses Salines,Mallorca,,,,U
2008-M03,2008,3,mensual,07061,Sóller,Mallorca,56.83,53.1,54.19,A
2008-M03,2008,3,mensual,07062,Son Servera,Mallorca,,,,U
2008-M04,2008,4,mensual,07002,Alaior,Menorca,,,,U
2008-M04,2008,4,mensual,07003,Alcúdia,Mallorca,41.15,47.88,42.5,A
2008-M04,2008,4,mensual,07005,Andratx,Mallorca,,,,U
2008-M04,2008,4,mensual,07011,Calvià,Mallorca,67.71,68.65,67.55,A
2008-M04,2008,4,mensual,07014,Capdepera,Mallorca,35.37,46.92,39.67,A
2008-M04,2008,4,mensual,07015,Ciutadella de Menorca,Menorca,28.28,29.78,30.78,A
2008-M04,2008,4,mensual,07022,Felanitx,Mallorca,,,,U
2008-M04,2008,4,mensual,07024,Formentera,Formentera,,,,U
2008-M04,2008,4,mensual,07026,Eivissa,Eivissa,46.79,51.04,45.98,A
2008-M04,2008,4,mensual,07031,Llucmajor,Mallorca,82.35,78.16,78.53,A
2008-M04,2008,4,mensual,07032,Maó,Menorca,,,,U
2008-M04,2008,4,mensual,07033,Manacor,Mallorca,,,,U
2008-M04,2008,4,mensual,07039,Muro,Mallorca,54.94,50.37,48.05,A
2008-M04,2008,4,mensual,07040,Palma,Mallorca,64.78,67.55,65.34,A
2008-M04,2008,4,mensual,07042,Pollença,Mallorca,36.68,33.74,26.31,A
2008-M04,2008,4,mensual,07046,Sant Antoni de Portmany,Eivissa,,,,U
2008-M04,2008,4,mensual,07048,Sant Josep de sa Talaia,Eivissa,,,,U
2008-M04,2008,4,mensual,07050,Sant Joan de Labritja,Eivissa,,,,U
2008-M04,2008,4,mensual,07051,Sant Llorenç des Cardassar,Mallorca,48.24,52.32,50.46,A
2008-M04,2008,4,mensual,07052,Sant Lluís,Menorca,,,,U
2008-M04,2008,4,mensual,07054,Santa Eulària des Riu,Eivissa,,,,U
2008-M04,2008,4,mensual,07055,Santa Margalida,Mallorca,,,,U
2008-M04,2008,4,mensual,07057,Santanyí,Mallorca,35.86,27.99,28.05,A
2008-M04,2008,4,mensual,07059,Ses Salines,Mallorca,56.9,64.1,57.67,A
2008-M04,2008,4,mensual,07061,Sóller,Mallorca,61.73,61.55,61.57,A
2008-M04,2008,4,mensual,07062,Son Servera,Mallorca,52.17,43.65,44.69,A
2008-M05,2008,5,mensual,07002,Alaior,Menorca,,,,U
2008-M05,2008,5,mensual,07003,Alcúdia,Mallorca,57.47,58.85,58.56,A
2008-M05,2008,5,mensual,07005,Andratx,Mallorca,61.07,63.67,59.58,A
2008-M05,2008,5,mensual,07011,Calvià,Mallorca,71.07,69.71,67.6,A
2008-M05,2008,5,mensual,07014,Capdepera,Mallorca,51.4,62.08,54.08,A
2008-M05,2008,5,mensual,07015,Ciutadella de Menorca,Menorca,54.56,50.58,48.02,A
2008-M05,2008,5,mensual,07022,Felanitx,Mallorca,,,,U
