any,territori,codi_municipi,nom,illa,nivell,us,num_bens,valor_total_milers_eur,valor_mitja_eur
2025,ILLES BALEARS,,ILLES BALEARS,ILLES BALEARS,Agregat,TOTAL USOS,955305.0,81111946.07,84906.86
2025,ILLES BALEARS,,ILLES BALEARS,ILLES BALEARS,Agregat,Almacén y estacionamiento,229734.0,2435518.78,10601.47
2025,ILLES BALEARS,,ILLES BALEARS,ILLES BALEARS,Agregat,Comercial,46800.0,5240112.02,111968.21
2025,ILLES BALEARS,,ILLES BALEARS,ILLES BALEARS,Agregat,Cultural,902.0,1271461.81,1409602.89
2025,ILLES BALEARS,,ILLES BALEARS,ILLES BALEARS,Agregat,Ocio y hostelería,23114.0,10703406.58,463070.29
2025,ILLES BALEARS,,ILLES BALEARS,ILLES BALEARS,Agregat,Industrial,22946.0,3042527.15,132595.1
2025,ILLES BALEARS,,ILLES BALEARS,ILLES BALEARS,Agregat,Deportivo,3467.0,1246352.33,359490.14
2025,ILLES BALEARS,,ILLES BALEARS,ILLES BALEARS,Agregat,Suelo vacante,44223.0,3549252.55,80258.07
2025,ILLES BALEARS,,ILLES BALEARS,ILLES BALEARS,Agregat,Oficinas,9302.0,1714691.76,184335.82
2025,ILLES BALEARS,,ILLES BALEARS,ILLES BALEARS,Agregat,Edificio singular,932.0,477248.49,512069.2
2025,ILLES BALEARS,,ILLES BALEARS,ILLES BALEARS,Agregat,Religioso,425.0,170605.82,401425.46
2025,ILLES BALEARS,,ILLES BALEARS,ILLES BALEARS,Agregat,Espectáculos,110.0,71383.54,648941.27
2025,ILLES BALEARS,,ILLES BALEARS,ILLES BALEARS,Agregat,Residencial,572577.0,50005120.59,87333.44
2025,ILLES BALEARS,,ILLES BALEARS,ILLES BALEARS,Agregat,Sanidad y beneficencia,770.0,1006515.17,1307162.56
2025,ILLES BALEARS,,ILLES BALEARS,ILLES BALEARS,Agregat,Otros usos,3.0,177749.48,59249826.67
2025,MALLORCA,,MALLORCA,MALLORCA,Agregat,TOTAL USOS,742540.0,62077312.77,83601.3
2025,MALLORCA,,MALLORCA,MALLORCA,Agregat,Almacén y estacionamiento,186423.0,1844106.59,9892.06
2025,MALLORCA,,MALLORCA,MALLORCA,Agregat,Comercial,35222.0,4050333.29,114994.42
2025,MALLORCA,,MALLORCA,MALLORCA,Agregat,Cultural,693.0,1045778.97,1509060.56
2025,MALLORCA,,MALLORCA,MALLORCA,Agregat,Ocio y hostelería,16384.0,7876514.61,480744.3
2025,MALLORCA,,MALLORCA,MALLORCA,Agregat,Industrial,15910.0,2351045.42,147771.55
2025,MALLORCA,,MALLORCA,MALLORCA,Agregat,Deportivo,2697.0,961954.31,356675.68
2025,MALLORCA,,MALLORCA,MALLORCA,Agregat,Suelo vacante,33010.0,2550677.53,77269.84
2025,MALLORCA,,MALLORCA,MALLORCA,Agregat,Oficinas,7380.0,1480544.45,200615.78
2025,MALLORCA,,MALLORCA,MALLORCA,Agregat,Edificio singular,826.0,366505.59,443711.37
2025,MALLORCA,,MALLORCA,MALLORCA,Agregat,Religioso,324.0,137798.83,425305.03
2025,MALLORCA,,MALLORCA,MALLORCA,Agregat,Espectáculos,58.0,46873.04,808155.86
2025,MALLORCA,,MALLORCA,MALLORCA,Agregat,Residencial,442982.0,38422212.63,86735.38
2025,MALLORCA,,MALLORCA,MALLORCA,Agregat,Sanidad y beneficencia,628.0,796776.0,1268751.59
2025,MALLORCA,,MALLORCA,MALLORCA,Agregat,Otros usos,3.0,146191.51,48730503.33
